PI	Soil	Sampling_Experiment	sampleID	analysis	Probenummer	Value	characteristic
Klaus	Changins	bx-soil_field	177_field	Agroscope	Probe_016	7.21	pH
Klaus	Changins	wt-soil_field	12_field	Agroscope	Probe_009	24.13	sand
Klaus	Changins	wt-soil_field	18_field	Agroscope	Probe_010	30.04	sand
Klaus	Changins	wt-soil_field	48_field	Agroscope	Probe_011	27.3	sand
Klaus	Changins	wt-soil_field	268_field	Agroscope	Probe_012	33.75	sand
Klaus	Changins	bx-soil_field	7_field	Agroscope	Probe_013	31.23	sand
Klaus	Changins	bx-soil_field	47_field	Agroscope	Probe_014	31.48	sand
Klaus	Changins	bx-soil_field	171_field	Agroscope	Probe_015	27.72	sand
Klaus	Changins	bx-soil_field	177_field	Agroscope	Probe_016	38	sand
Klaus	Changins	wt-soil_field	12_field	Agroscope	Probe_009	42.2	silt
Klaus	Changins	wt-soil_field	18_field	Agroscope	Probe_010	35.9	silt
Klaus	Changins	wt-soil_field	48_field	Agroscope	Probe_011	36.6	silt
Klaus	Changins	wt-soil_field	268_field	Agroscope	Probe_012	37	silt
Klaus	Changins	bx-soil_field	7_field	Agroscope	Probe_013	37.2	silt
Klaus	Changins	bx-soil_field	47_field	Agroscope	Probe_014	35.6	silt
Klaus	Changins	bx-soil_field	171_field	Agroscope	Probe_015	36.1	silt
Klaus	Changins	bx-soil_field	177_field	Agroscope	Probe_016	36.1	silt
Klaus	Changins	wt-soil_field	12_field	Agroscope	Probe_009	31.6	clay
Klaus	Changins	wt-soil_field	18_field	Agroscope	Probe_010	32.1	clay
Klaus	Changins	wt-soil_field	48_field	Agroscope	Probe_011	34.1	clay
Klaus	Changins	wt-soil_field	268_field	Agroscope	Probe_012	27.5	clay
Klaus	Changins	bx-soil_field	7_field	Agroscope	Probe_013	29.7	clay
Klaus	Changins	bx-soil_field	47_field	Agroscope	Probe_014	31	clay
Klaus	Changins	bx-soil_field	171_field	Agroscope	Probe_015	34.2	clay
Klaus	Changins	bx-soil_field	177_field	Agroscope	Probe_016	24.1	clay
